2025-01-31 11:12:22,870 - INFO - Starting Telegram client...
2025-01-31 11:12:22,870 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-31 11:12:25,208 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-31 11:12:26,931 - INFO - Phone migrated to 4
2025-01-31 11:12:27,424 - INFO - Reconnecting to new data center 4
2025-01-31 11:12:27,941 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-31 11:12:27,941 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-31 11:12:27,956 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-01-31 11:12:30,646 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-01-31 11:15:38,755 - INFO - Telegram client started successfully.
2025-01-31 11:15:38,755 - INFO - Scraping channel: DoctorsET
2025-01-31 11:16:46,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:47,573 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:49,475 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:50,321 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:51,765 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:52,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:53,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:54,321 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:55,205 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:55,743 - INFO - Completed scraping channel: DoctorsET - Total messages: 100
2025-01-31 11:16:55,743 - INFO - Scraping channel: lobelia4cosmetics
2025-01-31 11:16:56,306 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:57,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:58,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:58,831 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:59,203 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:59,729 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:00,174 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:01,559 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:02,370 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:03,120 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:06,619 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:07,580 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:07,942 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:08,195 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:09,320 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:10,122 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:10,903 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:12,583 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:13,014 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:13,502 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:13,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:15,302 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:15,778 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:18,119 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:18,627 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:19,191 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:19,970 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:21,236 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:24,550 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:26,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:28,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:30,527 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:31,531 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:33,202 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:34,820 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:35,454 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:37,003 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:39,265 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:39,727 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:40,168 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:40,930 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:41,470 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:42,068 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:42,508 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:44,303 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:45,869 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:47,343 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:47,917 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:48,532 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:49,150 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:49,424 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:50,396 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:50,979 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:53,568 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:54,617 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:17:56,418 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:01,079 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:01,950 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:04,016 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:04,295 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:05,775 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:07,181 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:07,766 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:08,361 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:09,740 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:12,630 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:12,912 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:13,468 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:15,671 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:16,365 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:19,893 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:21,859 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:23,730 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:24,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:25,166 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:25,915 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:27,172 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:27,665 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:29,498 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:31,183 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:32,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:34,057 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:34,871 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:36,008 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:36,493 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:36,792 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:37,793 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:39,554 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:40,050 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:42,200 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:42,705 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:43,347 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:44,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:45,323 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:46,343 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:46,905 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:48,292 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:48,782 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:49,605 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:50,350 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:50,612 - INFO - Completed scraping channel: lobelia4cosmetics - Total messages: 100
2025-01-31 11:18:50,612 - INFO - Scraping channel: yetenaweg
2025-01-31 11:18:51,502 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:52,422 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:53,379 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:54,265 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:55,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:56,748 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:57,977 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:59,007 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:18:59,664 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:00,496 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:01,262 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:02,320 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:03,112 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:03,799 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:04,672 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:05,347 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:06,157 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:07,035 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:08,147 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:09,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:10,087 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:11,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:12,034 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:13,345 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:14,754 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:15,695 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:16,415 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:17,159 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:18,011 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:18,783 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:19,761 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:20,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:21,388 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:22,191 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:22,924 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:23,523 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:24,635 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:25,076 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:25,914 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:26,688 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:27,605 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:28,805 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:30,140 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:31,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:32,636 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:33,935 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:34,697 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:35,867 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:37,465 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:39,144 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:39,864 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:19:41,461 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
